Altium Designer Pick and Place Locations
C:\Users\LMTS-IT\Desktop\NEW\OPENSOURCE\2_HW\ochvps_v1.0\Project Outputs\Pick Place\Pick Place for ochvps_v1.0.csv

========================================================================================================================
File Design Information:

Date:       21/03/24
Time:       07:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C1","TopLayer","51.6330","23.0280","270"
"C2","TopLayer","49.6330","22.3280","270"
"C3","TopLayer","56.6820","9.4400","90"
"C4","TopLayer","54.6200","10.1400","90"
"C5","TopLayer","31.7830","54.7520","270"
"C6","TopLayer","31.7830","49.2520","270"
"C7","TopLayer","40.3830","35.1520","0"
"C8","TopLayer","37.3830","35.1520","180"
"C9","TopLayer","45.8830","35.1520","0"
"C10","TopLayer","52.8830","35.1520","0"
"C11","TopLayer","57.9830","49.7520","270"
"C12","TopLayer","57.9830","56.7520","270"
"C13","TopLayer","47.3830","61.3520","0"
"C14","TopLayer","40.8830","61.3520","0"
"C15","TopLayer","29.4830","40.0020","0"
"C16","TopLayer","29.5330","37.1360","180"
"C17","TopLayer","65.8200","36.1565","0"
"C18","TopLayer","29.5830","47.0020","180"
"C19","TopLayer","29.5330","45.0020","0"
"C20","TopLayer","29.5330","43.5020","0"
"C21","TopLayer","29.5330","42.0020","180"
"C22","TopLayer","33.9330","35.1520","180"
"C23","TopLayer","56.0780","34.3020","270"
"C24","TopLayer","61.4780","32.0020","90"
"C25","TopLayer","22.6380","21.8150","90"
"C26","TopLayer","41.2940","22.7900","90"
"C27","TopLayer","58.5650","75.0000","90"
"C28","TopLayer","68.6650","75.0000","270"
"C29","TopLayer","62.7470","100.0280","270"
"C30","TopLayer","64.7630","100.0780","270"
"C31","TopLayer","65.9150","108.6880","180"
"C32","TopLayer","21.0000","32.6870","180"
"C33","TopLayer","19.6500","37.1360","0"
"C34","TopLayer","19.6500","40.2610","0"
"C35","TopLayer","19.6500","43.4110","0"
"C36","TopLayer","18.7500","45.7360","180"
"C37","TopLayer","18.7500","47.3110","180"
"C38","TopLayer","19.4550","72.9550","270"
"C39","TopLayer","17.5550","75.8550","0"
"C40","TopLayer","14.4800","67.3250","0"
"C41","TopLayer","11.3800","68.0000","270"
"C42","TopLayer","13.7000","77.5700","180"
"C43","TopLayer","14.6000","79.5700","0"
"C44","TopLayer","14.6000","81.5700","0"
"C45","TopLayer","14.6000","83.5700","0"
"C46","TopLayer","14.6000","85.5700","0"
"C47","TopLayer","15.9600","89.5700","180"
"C48","TopLayer","15.9500","94.5700","180"
"C49","TopLayer","9.9500","75.7420","270"
"C50","TopLayer","5.0250","70.3550","180"
"C51","TopLayer","5.0250","71.8550","180"
"C52","TopLayer","5.0250","68.8550","180"
"C53","TopLayer","43.2940","78.8050","90"
"C54","TopLayer","54.1150","97.5020","0"
"C55","TopLayer","56.7200","97.5020","0"
"C56","TopLayer","51.8290","102.3650","270"
"C57","TopLayer","56.4010","102.3650","270"
"C58","TopLayer","56.7200","82.5070","0"
"C59","TopLayer","54.1150","79.6070","0"
"C60_HB1","TopLayer","101.0360","58.9160","90"
"C60_HB2","TopLayer","150.8999","58.9160","90"
"C60_HB3","TopLayer","200.7639","58.9160","90"
"C60_HB4","TopLayer","250.6279","58.9160","90"
"C60_HB5","TopLayer","242.4681","76.0840","270"
"C60_HB6","TopLayer","192.6041","76.0840","270"
"C60_HB7","TopLayer","142.7401","76.0839","270"
"C60_HB8","TopLayer","92.8761","76.0840","270"
"C61_HB1","TopLayer","90.8760","58.9160","90"
"C61_HB2","TopLayer","140.7400","58.9160","90"
"C61_HB3","TopLayer","190.6040","58.9160","90"
"C61_HB4","TopLayer","240.4680","58.9160","90"
"C61_HB5","TopLayer","252.6280","76.0840","270"
"C61_HB6","TopLayer","202.7641","76.0840","270"
"C61_HB7","TopLayer","152.9001","76.0839","270"
"C61_HB8","TopLayer","103.0361","76.0840","270"
"C62_HB1","TopLayer","77.3760","58.8210","270"
"C62_HB2","TopLayer","127.2399","58.8210","270"
"C62_HB3","TopLayer","177.1040","58.8210","270"
"C62_HB4","TopLayer","226.9679","58.8210","270"
"C62_HB5","TopLayer","266.1281","76.1790","90"
"C62_HB6","TopLayer","216.2641","76.1790","90"
"C62_HB7","TopLayer","166.4001","76.1790","90"
"C62_HB8","TopLayer","116.5361","76.1790","90"
"C63_HB1","TopLayer","80.3261","54.9960","0"
"C63_HB2","TopLayer","130.1900","54.9960","0"
"C63_HB3","TopLayer","180.0540","54.9960","0"
"C63_HB4","TopLayer","229.9180","54.9960","0"
"C63_HB5","TopLayer","263.1780","80.0040","180"
"C63_HB6","TopLayer","213.3141","80.0040","180"
"C63_HB7","TopLayer","163.4501","80.0040","180"
"C63_HB8","TopLayer","113.5860","80.0040","180"
"D1","TopLayer","51.8700","9.4450","90"
"D2","TopLayer","60.5650","80.8690","90"
"D3","TopLayer","66.6650","80.8690","90"
"D4","TopLayer","60.5650","99.1400","270"
"D5","TopLayer","66.6650","99.1400","270"
"D6","TopLayer","21.7170","27.2270","0"
"FB1","TopLayer","29.3830","35.1520","0"
"H1","TopLayer","4.0000","146.0000","0"
"H2","TopLayer","296.0000","146.0000","0"
"H3","TopLayer","296.0000","4.0000","0"
"H4","TopLayer","4.0000","4.0000","0"
"H_GND?","TopLayer","292.2000","139.2100","180"
"H_HV1","TopLayer","292.2000","15.0000","180"
"H_HV2","TopLayer","292.2000","30.0000","180"
"H_HV3","TopLayer","292.2000","45.0000","180"
"H_HV4","TopLayer","292.2000","60.0000","180"
"H_HV5","TopLayer","292.2000","75.0000","180"
"H_HV6","TopLayer","292.2000","90.0000","180"
"H_HV7","TopLayer","292.2000","105.0000","180"
"H_HV8","TopLayer","292.2000","120.0000","180"
"J1","TopLayer","13.5000","6.4250","270"
"J2","TopLayer","54.6200","2.8000","0"
"J3","TopLayer","66.4840","19.7800","90"
"J4","TopLayer","66.4840","7.0800","270"
"J5","TopLayer","52.1730","30.1520","0"
"L1","TopLayer","7.1250","59.6010","90"
"LED1","TopLayer","27.7350","7.0500","90"
"LED2","TopLayer","37.8550","6.8040","90"
"LED3","TopLayer","3.0000","80.4050","90"
